Actual Price,Predicted Price
4060000,5164653.900339675
6650000,7224722.298021666
3710000,3109863.2424033796
6440000,4612075.327225597
2800000,3294646.257259555
4900000,3532275.0955655854
5250000,5611774.568364761
4543000,6368145.98732718
2450000,2722856.9568998553
3353000,2629405.6158578247
10150000,9617039.503155798
2660000,2798087.3044788786
3360000,3171096.768470635
3360000,3394639.0912552793
2275000,3681088.654242752
2660000,5263187.746214851
2660000,3035963.4761238443
7350000,4786122.800400506
2940000,4349551.920057204
2870000,3572362.099304516
6720000,5774875.213956495
5425000,5886993.579198835
1890000,2730836.195184581
5250000,4727316.473236351
4193000,5244847.527168009
12250000,7555324.216056035
3080000,3220790.8468026835
5110000,5191898.799342064
9800000,8143726.910097858
2520000,3398814.0982503486
6790000,6490693.0502792485
3500000,3315105.9074780997
6650000,6708457.367613257
2940000,4201738.2107167635
3325000,3557571.0673518605
4200000,5836974.50478626
4900000,4808660.674484753
3290000,4362878.736132614
3500000,3191242.9570150785
2380000,4596554.932252382
5495000,4566042.860484112
3675000,3517779.5237414814
6650000,7205844.793658353
4907000,3983597.2786110286
3150000,3749338.7027105624
4480000,4274731.091258956
6580000,6757442.10783741
5740000,4037320.436658513
3003000,3769334.903971263
1820000,3417627.443771563
8400000,7268416.676446109
2450000,2802534.3543138425
4270000,4341750.614204522
4007500,4516422.153456421
3234000,3679997.65037847
1750000,2678959.064811518
9800000,7498029.177824584
2100000,2920366.4549316675
4340000,4239582.059601812
3045000,2766467.4846703317
3850000,4841309.859332723
3500000,3584359.5601492207
4753000,5142140.848975798
3080000,4221869.209962631
4550000,4698408.508240814
6510000,4662380.985643125
6685000,7177841.5121642435
5110000,3452198.913837598
4550000,5902436.913614125
6650000,6198094.318228128
3640000,4773218.996890773
5600000,5178933.325856979
3780000,4490410.961065601
6615000,7968737.415675146
3220000,3519394.9479219485
6650000,5501905.049095542
4690000,3947055.155713952
4830000,4714056.3670795085
6860000,4792291.267643817
2233000,4250596.746593779
7035000,7718149.193573503
4165000,4053241.1177575802
6195000,6453918.607577256
6510000,5355571.586802793
1890000,2755188.2917526904
8190000,6796008.097933595
2660000,2607277.3817633144
4193000,3679738.8576198732
13300000,7968276.126387382
9681000,8078480.595008162
4340000,3266213.773097068
8645000,5897888.53031042
3703000,3569461.074391857
5145000,3868964.9803252053
6440000,7584429.531248915
5950000,4740586.437716918
5810000,5139372.690322536
5740000,6423485.1022860175
6230000,4914078.822584893
5600000,5982087.312893157
3010000,3855027.321942807
8890000,6420308.272823646
4900000,3749108.5131482873
5530000,5998642.372044319
9100000,4973331.100292531
3773000,4336650.868963845
7910000,7059062.722748416
7350000,6398940.868319864
5530000,6363889.853126445
